Име,Област (етнографска/фолклорна),Регион,Размер,С удължен дял,Темпо,Тактове,Трудност,Къде го научих,Музика,Заснето,Урок,Хореограф
Брезнишко,,,,,,,Средно ниво,Читалището,,https://www.youtube.com/watch?v=Ze2gVnc1YS8&ab_channel=Bulgarianfolkloredance%F0%9F%87%A7%F0%9F%87%AC%26ReNiPeNeVa,https://www.youtube.com/watch?v=I6kNxLhcwVk&list=PLBzWamY_6YY3lqEYhn0FY3_4mkHWJTEWg&index=4&ab_channel=SvetoslavVelev,
Черкезко,,,,,,,Средно ниво,Читалището,,https://www.youtube.com/watch?v=r_j4l31nfD8&ab_channel=%D0%A0%D0%B0%D0%B9%D0%BD%D0%B0%D0%9A%D0%BD%D1%8F%D0%B3%D0%B8%D0%BD%D1%8F,https://www.youtube.com/watch?v=FnSAFgb-4gs&ab_channel=SvetoslavVelev,
Кулско македонско,Северняшка,,2/4,,,,Средно ниво,Читалището,https://www.youtube.com/watch?v=8hryqiYP0E8&ab_channel=%D0%91%D0%90%D0%9B%D0%9A%D0%90%D0%9D%D0%A4%D0%9E%D0%9B%D0%9A,https://www.youtube.com/watch?v=J1oTYegTpXk&ab_channel=%D0%A0%D0%B0%D0%B4%D0%BA%D0%B0%D0%9C%D0%B0%D1%86%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,,
Котленско,,,,,,,Средно ниво,Света Неделя,,https://www.youtube.com/watch?v=MR9lMa6ZUVg&ab_channel=%D0%91%D1%83%D1%80%D0%B3%D0%BE%D1%81-%D0%A8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B7%D0%B0%D0%B1%D1%8A%D0%BB%D0%B3%D0%B0%D1%80%D1%81%D0%BA%D0%B8%D0%B8%D0%B3%D1%80%D1%8A%D1%86%D0%BA%D0%B8%D0%BD%D0%B0%D1%80%D0%BE%D0%B4%D0%BD%D0%B8%D1%82%D0%B0%D0%BD%D1%86%D0%B8,,
Къшленско,Шопска,,2/4,,,,Средно ниво,Света Неделя,https://www.youtube.com/watch?v=EDJe2fKKw2Y&ab_channel=TVRodina,https://www.youtube.com/watch?v=hM7Lz1spmJY&ab_channel=milenageorgieva,,
Симитлийско,,,,,,,Средно ниво,Света Неделя,,https://www.youtube.com/watch?v=4wl2dKdJNfI&ab_channel=Bulgariannationalfolkloremusic-%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B9%D0%94%D0%B8%D0%BC%D0%BE%D0%B2,,
Помашко,,,,,,,Средно ниво,Света Неделя,,,,
Тежкото,,,,,,,Средно ниво,Хоротека,,,,
Рацината,,,2/4,,,,Напреднали,Читалището,https://www.youtube.com/watch?v=CQzucMcNISE&ab_channel=ZornitsaOrchestra-Topic,https://www.youtube.com/watch?v=_FjY7chOqJc&ab_channel=BadZeroni,https://www.youtube.com/watch?v=l6gLjRKhp98&ab_channel=SvetoslavLalov,
Бера,Шопска,Брезник,7/8,трети,умерено,,Напреднали,Читалището,https://www.youtube.com/watch?v=pIcC-lkyu2M&ab_channel=%D0%91%D0%90%D0%9B%D0%9A%D0%90%D0%9D%D0%A4%D0%9E%D0%9B%D0%9A,https://www.youtube.com/watch?v=H1m223Q-wTU&ab_channel=formaciaKALINA,https://www.youtube.com/watch?v=p7MthzPC38k&t=516s&ab_channel=%D0%A2%D1%83%D0%BA%D0%A2%D0%B0%D0%BC%D1%81%D0%92%D0%B8%D0%BA%D0%B8,
Шопе шопе (Петрунино),Шопска,,12/16,,,,Напреднали,Народния,,,,
Зелена салата,,,2/4,,,,Напреднали,Зала Младост,,,,
Кате кате,Пиринска,,2/4,,,40,Напреднали,Зала Младост,,,,
Калеш кате,Пиринска,,11/16,,,,Напреднали,Читалището,,,,
Шопска копаница,Шопска,,11/16,,,,Напреднали,Зала Младост,,,,
Боалийско,Тракийска,Ямболски,2/4,,,,Напреднали,Зала Младост,,,,
Мъжко ширто,Пиринска,,7/8,първи,,,Напреднали,Хоротека,,,,
Копачка,,,,,,,Напреднали,Хоротека,,https://www.youtube.com/watch?v=domL-yS4OHQ&ab_channel=%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD%D0%B0%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0,,
Лудо копано,Шопска,,11/16,трети,,,Напреднали,Читалището,,,,
